"VIDEO","NUMBER_OF_HITS","HIT_INTENSITY","NUMBER_OF_TUG","TOTAL_FRAMES_IN_TUG","NUMBER_OF_JERK_FRAMES","TIME","NUMBER_OF_RINGDROP","VARIANCE","ARC_LENGTH","CURVATURE_MAX_COUNT"
"E4_t8_aug_perturb_Y","0","0","0","0","0","36.8","0","0.037223918557275984","4.428454360393666","18"
"E4_t9_aug_perturb_X","2","0","0","0","2","45.72","0","0.041971813070789406","6.672822345123602","24"
"E4_t9_aug_perturb_Y","2","0","0","0","2","45.72","0","0.04351456905143587","6.984495003555823","28"
"E5_t1_aug_perturb_X","0","0","1","2","8","16.96","0","0.04343606018676977","2.7305272644211076","5"
"E5_t1_aug_perturb_Y","0","0","1","2","8","16.96","0","0.043866555123655546","2.7900690644999635","8"
"E5_t10_aug_perturb_X","1","0","0","0","8","9.76","0","0.06063792081629593","2.60279511466205","1"
"E5_t10_aug_perturb_Y","1","0","0","0","8","9.76","0","0.06142363532521191","2.6729804239583004","1"
"E5_t11_aug_perturb_X","2","0","1","13","4","14.76","0","0.04550163753262306","2.549959741799123","8"
"E5_t11_aug_perturb_Y","2","0","1","13","4","14.76","0","0.04568233221375399","2.5337510540507493","7"
"E5_t12_aug_perturb_X","2","0","0","0","7","13.84","0","0.06094188175541059","3.431249375211295","3"
"E5_t12_aug_perturb_Y","2","0","0","0","7","13.84","0","0.061048610898923626","3.3547574531745528","8"
"E5_t2_aug_perturb_X","3","1","2","118","5","27.84","0","0.046869011881077026","4.423437890139528","4"
"E5_t2_aug_perturb_Y","3","1","2","118","5","27.84","0","0.04678632729540967","4.291552070210832","14"
"E5_t3_aug_perturb_X","1","0","0","0","3","16.0","0","0.061324104826283796","3.7060425100713172","6"
"E5_t3_aug_perturb_Y","1","0","0","0","3","16.0","0","0.06041911351880716","3.6738081661112716","7"
"E5_t4_aug_perturb_X","2","0","2","23","18","22.64","0","0.06624315852530592","4.84868182510641","4"
"E5_t4_aug_perturb_Y","2","0","2","23","18","22.64","0","0.06574885386758296","4.828517941975619","4"
"E5_t5_aug_perturb_X","0","0","0","0","2","12.56","0","0.0660155520629568","3.435285976059018","5"
"E5_t5_aug_perturb_Y","0","0","0","0","2","12.56","0","0.07055941646045988","3.6720093900196926","5"
"E5_t6_aug_perturb_X","0","0","2","15","5","21.56","0","0.05908576230746503","5.063973792837258","2"
"E5_t6_aug_perturb_Y","0","0","2","15","5","21.56","0","0.05988092131250389","5.301786623514531","3"
"E5_t7_aug_perturb_X","3","0","5","88","5","21.56","0","0.04961303074257139","3.823248260674447","8"
"E5_t7_aug_perturb_Y","3","0","5","88","5","21.56","0","0.05011693311086528","3.8064860000441993","10"
"E5_t8_aug_perturb_X","1","0","1","13","9","16.92","0","0.04331080305459602","3.306242667410906","7"
"E5_t8_aug_perturb_Y","1","0","1","13","9","16.92","0","0.042924731903522646","3.2607509524588822","7"
