"VIDEO","NUMBER_OF_HITS","HIT_INTENSITY","NUMBER_OF_TUG","TOTAL_FRAMES_IN_TUG","NUMBER_OF_JERK_FRAMES","TIME","NUMBER_OF_RINGDROP","VARIANCE_X","VARIANCE_Y","STD_DXDY","STD_DDXDDY","MOTION_SMOOTHNESS","SNAP","ARCLENGTH","CURVATUREMAXCOUNT"
"T3_2_t7_aug_perturb_Y","1","0","0","0","0","24.6","0","0.014729848554502325","0.04168062862016739","0.031666082203435114","0.03358188859277949","7.7749591603435375","0.7981431581024327","3.3100081436330844","9"
"T3_2_t7_aug_pertub_X,perturb_Y","1","0","0","0","0","24.6","0","0.014729848554502325","0.042232910831378354","0.03175201738030409","0.03502974973715655","7.953892399242228","0.8617632984353278","3.353396375214368","10"
"T3_2_t8_aug_perturb_X","0","0","0","0","2","28.6","0","0.05790540386343631","0.018590389719873732","0.034617234820645694","0.03567412285712328","9.06836974613679","0.9100090455649726","4.142053015171387","15"
"T3_2_t8_aug_perturb_Y","0","0","0","0","2","28.6","0","0.05756297305171748","0.018631994827782113","0.03481876700205196","0.035417993590934664","9.1966733429029","0.8805706788592673","4.225521257886385","13"
"T3_2_t8_aug_pertub_X,perturb_Y","0","0","0","0","2","28.6","0","0.05756297305171748","0.01845701752336396","0.03366786385503196","0.03356806703153306","9.126047154265018","0.8422840100235898","4.061244619690682","15"
"T3_2_t9_aug_perturb_X","1","0","0","0","2","13.76","0","0.018684038253348623","0.008050091296513557","0.04641184110997627","0.04839275811912304","4.697782548227887","0.7768566251109803","2.71754331766117","3"
"T3_2_t9_aug_perturb_Y","1","0","0","0","2","13.76","0","0.018964569163931813","0.008185345974649266","0.04949347971431242","0.05508582230711358","4.7389491894604925","0.912036521653183","2.8829198104997893","3"
"T3_2_t9_aug_pertub_X,perturb_Y","1","0","0","0","2","13.76","0","0.018964569163931813","0.008222744740757907","0.04606500196027111","0.046083686039790024","4.8556232282232985","0.7409616632870039","2.7321126116719037","4"
"T8_1_t1_aug_perturb_X","1","0","0","0","1","42.0","0","0.010537949126199831","0.08117861669849995","0.026978668195794555","0.028380767309183277","14.280398298002964","0.8411883676750871","3.935755839303657","12"
"T8_1_t1_aug_perturb_Y","1","0","0","0","1","42.0","0","0.010598132285018644","0.08047000118977604","0.0269173985941335","0.028490806854703964","14.15987203860275","0.8569292904863649","3.836323752156879","18"
"T8_1_t1_aug_pertub_X,perturb_Y","1","0","0","0","1","42.0","0","0.010598132285018644","0.08087358500123666","0.026900093093789445","0.02779034646712483","14.310679115601122","0.8200188676788086","3.8423174663789808","15"
"T8_1_t10_aug_perturb_X","2","0","1","4","0","23.84","0","0.0876433327361598","0.019678903903903904","0.03141730792185367","0.030429124053208932","9.678122789834992","0.706338422493311","3.090386775010337","8"
"T8_1_t10_aug_perturb_Y","2","0","1","4","0","23.84","0","0.08817920410666422","0.019836408474937287","0.033152616300969724","0.036371874874025864","9.693497767192124","0.9003271219805412","3.2158742974846937","12"
"T8_1_t10_aug_pertub_X,perturb_Y","2","0","1","4","0","23.84","0","0.08817920410666422","0.019597167973216038","0.0317209879177196","0.0317599567871362","9.668649669333998","0.7415762546204078","3.131461452115461","13"
